Station_ID,Timestamp,CO_Channel,NOx_Channel,NO2_Channel,Ambient_Temperature,Relative_Humidity,Absolute_Humidity,CO_Channel_RollingMean,CO_Channel_RollingStd,NOx_Channel_RollingMean,NOx_Channel_RollingStd,NO2_Channel_RollingMean,NO2_Channel_RollingStd,Ambient_Temperature_RollingMean,Ambient_Temperature_RollingStd,Relative_Humidity_RollingMean,Relative_Humidity_RollingStd,Absolute_Humidity_RollingMean,Absolute_Humidity_RollingStd,CO_Channel_Deviation,NOx_Channel_Deviation,NO2_Channel_Deviation,Ambient_Temperature_Deviation,Relative_Humidity_Deviation,Absolute_Humidity_Deviation,CO_Channel_ZScore,CO_Channel_TemporalAnomaly,NOx_Channel_ZScore,NOx_Channel_TemporalAnomaly,NO2_Channel_ZScore,NO2_Channel_TemporalAnomaly,Ambient_Temperature_ZScore,Ambient_Temperature_TemporalAnomaly,Relative_Humidity_ZScore,Relative_Humidity_TemporalAnomaly,Absolute_Humidity_ZScore,Absolute_Humidity_TemporalAnomaly,Temporal_Anomaly_Count,CO_Channel_StatisticalAnomaly,NOx_Channel_StatisticalAnomaly,NO2_Channel_StatisticalAnomaly,Ambient_Temperature_StatisticalAnomaly,Relative_Humidity_StatisticalAnomaly,Absolute_Humidity_StatisticalAnomaly,Statistical_Anomaly_Count,Affected_Sensors,Missing_Sensors,Temporal_Reliability,Statistical_Reliability,Missing_Count,Missing_Ratio,Missingness_Reliability,Relationship_Anomaly_Count,Relationship_Reliability,Trust_Score,Trust_Category,Trust_Reason
STN-01,01-01-2021 00:00,1.2,411.0,157.0,4.8,56.3,0.9245,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 01:00,1.5,397.0,167.0,2.9,54.7,0.8249,,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,,0,,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 02:00,0.7,300.0,135.0,1.8,50.1,0.7405,1.1333333333333333,0.40414518843273806,369.3333333333333,60.451082151879895,153.0,16.3707055437449,3.1666666666666665,1.5176736583776278,53.699999999999996,3.2186953878862155,0.8299666666666666,0.09210457824306748,0.43333333333333335,69.33333333333331,18.0,1.3666666666666665,3.5999999999999943,0.08946666666666658,-1.0722219284950192,0,-1.1469328730813664,0,-1.099524999206747,0,-0.9005010129302858,0,-1.1184655788021587,0,-0.9713596041942743,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 03:00,0.5,284.0,142.0,0.9,48.8,0.6769,0.975,0.45734742446707477,348.0,65.24313501562187,150.25,14.453949863849212,2.6,1.6792855623746665,52.475,3.592932878118749,0.7917,0.10729796518729211,0.475,64.0,8.25,1.7000000000000002,3.6750000000000043,0.11480000000000001,-1.03859773683758,0,-0.9809461176976825,0,-0.570778235548892,0,-1.0123352680982034,0,-1.0228412621847323,0,-1.0699177733670238,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 04:00,0.0,209.0,118.0,0.9,53.6,0.7118,0.78,0.5890670590009256,320.2,84.00416656333184,143.8,19.0971202017477,2.2600000000000002,1.6410362579784763,52.7,3.1519835024948986,0.77572,0.09955622532016777,0.78,111.19999999999999,25.80000000000001,1.3600000000000003,0.8999999999999986,0.06391999999999998,-1.3241276830568358,0,-1.3237438635399692,0,-1.350989035385497,0,-0.8287446382661449,0,0.2855344894056771,0,-0.6420492520124834,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 05:00,0.0,284.0,111.0,1.6,54.2,0.7196,0.65,0.6156297588648554,314.1666666666667,76.57523533536587,138.33333333333334,21.704070278790265,2.15,1.492313639956427,52.949999999999996,2.8849610049357697,0.7663666666666668,0.09194597689223101,0.65,30.166666666666686,27.333333333333343,0.5499999999999998,1.250000000000007,0.046766666666666734,-1.0558294017471135,0,-0.3939480764838651,0,-1.2593643948915945,0,-0.36855523214011426,0,0.4332814197007966,0,-0.5086320059602117,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 06:00,0.9,334.0,122.0,2.7,57.3,0.7971,0.6,0.5727128425310541,301.3333333333333,62.20503730942266,132.5,20.344532435030313,1.8,0.8579044235810892,53.11666666666667,3.135229922456513,0.7451333333333333,0.05568406115457711,0.30000000000000004,32.666666666666686,10.5,0.9000000000000001,4.18333333333333,0.051966666666666717,0.5238227218271837,0,0.5251450377591594,0,-0.5161091823334575,0,1.0490679092703525,0,1.3342987394224688,0,0.9332413187753847,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 07:00,2.0,418.0,161.0,1.4,50.9,0.6762,0.6833333333333332,0.7413950813612582,304.8333333333333,68.89533123998073,131.5,18.360283222216385,1.55,0.6715653356152336,52.48333333333333,3.1352299224565128,0.7203499999999999,0.045182684736522954,1.3166666666666669,113.16666666666669,29.5,0.15000000000000013,1.5833333333333286,0.04414999999999991,1.7759312136913101,0,1.6425883239094552,0,1.6067290271592483,0,-0.2233587590738023,0,-0.5050134671120887,0,-0.9771442369450817,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 08:00,2.4,468.0,152.0,2.1,50.5,0.7257,0.9666666666666667,1.0211105065891088,332.8333333333333,95.52887870516783,134.33333333333334,20.22539657625202,1.5999999999999999,0.7042726744663612,52.54999999999999,3.0781487943242776,0.7178833333333333,0.04425713125211226,1.4333333333333331,135.16666666666669,17.666666666666657,0.5000000000000002,2.04999999999999,0.007816666666666694,1.4037005045822148,0,1.4149298986731913,0,0.8734892589157072,0,0.7099522928088304,0,-0.6659846995635605,0,0.17661937060806732,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 09:00,2.6,482.0,158.0,3.5,47.7,0.7078,1.3166666666666667,1.1771434350437786,365.8333333333333,108.5917430869708,137.0,22.37856116911899,2.033333333333333,0.9458682078739444,52.366666666666674,3.3655113529249405,0.7230333333333334,0.04014068592670894,1.2833333333333334,116.16666666666669,21.0,1.4666666666666668,4.666666666666671,0.015233333333333432,1.0902098207646256,0,1.0697559811120185,0,0.9383981320916505,0,1.5506036194654815,0,-1.3866144479384706,0,-0.3794985805959391,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 10:00,1.9,386.0,141.0,5.8,41.5,0.7022,1.6333333333333335,0.9933109617167561,395.3333333333333,76.87565717876284,140.83333333333334,20.35108514715288,2.85,1.635542723379612,50.35,5.4551810235774925,0.7214333333333333,0.040862827443370706,0.2666666666666664,9.333333333333314,0.1666666666666572,2.9499999999999997,8.850000000000001,0.019233333333333213,0.2684624220856094,0,-0.12140817621409133,0,0.008189571487787416,0,1.8036826295214423,0,-1.6223109667213567,0,-0.47068043345721766,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 11:00,2.4,436.0,152.0,7.6,46.0,0.7934,2.033333333333333,0.6153589738247642,420.6666666666667,54.69430195794321,147.66666666666666,14.320148975016496,3.85,2.382225849914318,48.98333333333334,5.323313504450646,0.7337333333333333,0.05023336208802556,0.3666666666666667,15.333333333333314,4.333333333333343,3.7499999999999996,2.9833333333333414,0.059666666666666646,0.5958581612739792,0,0.2803460833109045,0,0.30260392827570787,0,1.5741580506041761,0,-0.5604278859096078,0,1.1877896319603454,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 12:00,2.0,349.0,146.0,8.7,46.7,0.8085,2.2166666666666663,0.2857738033247045,423.1666666666667,50.089586409419184,151.66666666666666,7.393691004272888,4.8500000000000005,2.9857997253667223,47.21666666666667,3.4353553916103943,0.7356333333333334,0.053235351662844134,0.21666666666666634,74.16666666666669,5.666666666666657,3.8499999999999988,0.5166666666666657,0.07286666666666664,-0.7581753965757435,0,-1.4806803566004267,0,-0.766419189467322,0,1.289436785492079,0,-0.15039686081051062,0,1.368764634601339,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 13:00,1.9,314.0,,8.6,46.4,0.7946,2.1999999999999997,0.3033150177620624,405.8333333333333,67.27976416922601,149.8,6.496152707564612,6.05,2.7602536115364456,46.46666666666667,2.9234682599040815,0.7553666666666667,0.04853521058640489,0.2999999999999998,91.83333333333331,,2.55,0.06666666666666998,0.03923333333333323,-0.9890707100936788,0,-1.3649473131675778,0,,0,0.923828154537071,0,-0.022803964585836587,0,0.8083478542549645,0,0,0,0,0,0,0,0,0,None,NO2_Channel,1.0,1.0,1,0.16666666666666666,0.8333333333333334,0,1.0,97.49999999999999,Highly Reliable,Missing sensor data
STN-01,01-01-2021 14:00,1.8,237.0,115.0,10.0,41.9,0.7829,2.1,0.3224903099319422,367.3333333333333,87.61202352797623,142.4,16.592166826547974,7.366666666666667,2.353437202618047,45.03333333333333,2.6454993227492216,0.7648999999999999,0.047140216376253485,0.30000000000000004,130.33333333333331,27.400000000000006,2.633333333333333,3.133333333333333,0.018000000000000127,-0.9302605094190629,0,-1.487619256867356,0,-1.6513816601794993,0,1.1189307836231703,0,-1.184401487609209,0,0.3818395710433668,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 15:00,1.2,198.0,124.0,10.2,37.0,0.7102,1.8666666666666665,0.3881580434135902,320.0,89.95776786915062,135.6,15.533834040570897,8.483333333333333,1.630235156861321,43.25,3.8297519501920645,0.7653,0.04656548077707344,0.6666666666666665,122.0,11.599999999999994,1.7166666666666668,6.25,0.05509999999999993,-1.7175134664318157,0,-1.356191943062181,0,-0.7467570446358183,0,1.0530178173630802,0,-1.6319594796959522,0,-1.1832799550333102,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 16:00,0.8,230.0,135.0,9.5,36.8,0.689,1.6833333333333336,0.5810909280540063,294.0,89.61026726887931,134.4,15.241391012633956,9.1,0.9838699100999008,42.46666666666667,4.651738026444159,0.7631,0.050304592235699525,0.8833333333333335,64.0,0.5999999999999943,0.40000000000000036,5.666666666666671,0.07410000000000005,-1.5201292787197616,0,-0.7142038736249425,0,0.039366485611624286,0,0.406557814090874,0,-1.2181826737561006,0,-1.4730265509917742,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 17:00,1.1,,144.0,9.3,38.2,0.6873,1.4666666666666668,0.49665548085837746,265.6,63.15298884455093,132.8,13.217412757419627,9.383333333333333,0.6554896388705561,41.166666666666664,4.555728993988405,0.7454166666666667,0.05586431478740861,0.3666666666666667,,11.199999999999989,0.08333333333333215,2.9666666666666615,0.058116666666666705,-0.7382716607354276,0,,0,0.8473670456960528,0,-0.12713142724409796,0,-0.651194720006695,0,-1.0403182584057356,0,0,0,0,0,0,0,0,0,None,NOx_Channel,1.0,1.0,1,0.16666666666666666,0.8333333333333334,0,1.0,97.49999999999999,Highly Reliable,Missing sensor data
STN-01,01-01-2021 18:00,1.4,159.0,113.0,7.9,48.1,0.8073,1.366666666666667,0.4226897995772622,227.6,57.31753658349219,126.2,13.217412757419629,9.25,0.86890735984913,41.4,4.917316341257692,0.7452166666666667,0.05559479891740486,0.03333333333333299,68.6,13.200000000000003,1.3499999999999996,6.700000000000003,0.06208333333333327,0.0788600372345633,0,-1.1968413872789714,0,-0.998682589570349,0,-1.5536754116507916,0,1.3625318232599934,0,1.1167111769856057,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 19:00,1.9,239.0,125.0,7.8,49.4,0.8062,1.3666666666666665,0.4226897995772622,212.6,34.20964776199783,126.0,11.832159566199204,9.116666666666667,1.0342469079802235,41.9,5.6284989117881095,0.74715,0.057813034862390804,0.5333333333333334,26.400000000000006,1.0,1.3166666666666673,7.5,0.05905000000000005,1.2617605957530258,0,0.7717121258794937,0,-0.08451542547285186,0,-1.2730680232227913,0,1.3325044772225667,0,1.0213959557832162,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 20:00,1.7,,104.0,5.2,54.3,0.7896,1.3499999999999999,0.4037325847637262,206.5,36.2261415739143,124.16666666666667,14.44183737156273,8.316666666666668,1.792670261555833,43.96666666666667,7.570116687784051,0.7482666666666667,0.05869956274680995,0.3500000000000001,,20.16666666666667,3.116666666666668,10.333333333333329,0.04133333333333322,0.8669104580816243,0,,0,-1.396405882978342,0,-1.738561035737692,0,1.3650163873970793,0,0.7041506171283959,0,0,0,0,0,0,0,0,0,None,NOx_Channel,1.0,1.0,1,0.16666666666666666,0.8333333333333334,0,1.0,97.49999999999999,Highly Reliable,Missing sensor data
STN-01,01-01-2021 21:00,1.2,147.0,96.0,4.2,52.3,0.7494,1.3499999999999999,0.4037325847637262,193.75,47.450851766151445,119.5,18.468892765945636,7.316666666666666,2.1664871720521837,46.51666666666667,7.3270503387561465,0.7548,0.055721270624421414,0.1499999999999999,46.75,23.5,3.1166666666666663,5.783333333333324,0.005400000000000071,-0.371533053463553,0,-0.9852299434032207,0,-1.2724097918490873,0,-1.438580715765067,0,0.7893126245827203,0,-0.09691092718250703,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 22:00,0.6,129.0,97.0,2.1,59.0,0.7594,1.3166666666666667,0.46224091842530124,168.5,48.59012245302472,113.16666666666667,18.605554726120516,6.083333333333333,2.71250192012221,50.21666666666667,7.038584137926217,0.7665333333333333,0.04558463191325193,0.7166666666666667,39.5,16.16666666666667,3.983333333333333,8.783333333333331,0.007133333333333325,-1.55041805712075,0,-0.812922421386924,0,-0.8689161330927765,0,-1.4685089451121445,0,1.247883546067998,0,-0.15648548719024732,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
STN-01,01-01-2021 23:00,2.0,329.0,135.0,0.2,55.9,0.6626,1.4666666666666666,0.5202563470700441,200.6,83.20336531655411,111.66666666666667,15.769168230019789,4.566666666666667,3.0741936612169845,53.166666666666664,4.083952334034585,0.7624166666666666,0.05442853724533365,0.5333333333333334,128.4,23.33333333333333,4.366666666666667,2.7333333333333343,0.09981666666666666,1.0251356592513206,0,1.5432068103434464,0,1.4796806650152687,0,-1.4204266704974045,0,0.6692862966480909,0,-1.8339031640102417,0,0,0,0,0,0,0,0,0,None,None,1.0,1.0,0,0.0,1.0,0,1.0,99.99999999999999,Highly Reliable,No significant anomaly
